,Focus,Scope,Methodology,Sources
Full Fact Government Tracker,Full Fact¡¯s mission is to build a better information environment to restore trust. We believe that facts matter. That means we¡¯re fighting for a world where we can all trust the information that shapes our lives.,"We base our core areas of concern to the topics which consistently top the Ipsos MORI Issues Index. They include crime and immigration, the law, education, health and social care, and the economy.

We fact check claims from across the political spectrum and from different sides of important debates.","Traditional editorial work, manual checking
","We draw on publicly available information, including statistics and primary research. We provide links to primary sources for all factual assertions wherever possible and aim to provide at least two sources to verify the central claim of a check unless there is only one relevant source. We prefer to link to data tables, legal documents, or other primary sources rather than press releases or executive summaries of statistical releases. We won¡¯t include anonymous sources except in cases where the source¡¯s safety is at risk and the information they have provided is both necessary for the and corroborated by another source we can identify. This very rare."
PolitiFact(US),"Fact-checking journalism is the heart of PolitiFact. Our core principles are independence, transparency, fairness, thorough reporting and clear writing. The reason we publish is to give citizens the information they need to govern themselves in a democracy.","Across states, fields, people",,"We emphasize primary sources and original documentation. We seek direct access to government reports, academic studies and other data. It¡¯s not sufficient for us to get something second-hand. We don¡¯t rely on what a campaign or elected official tells us -- we verify it independently."
Our project,"Labour 2024 Manifesto**
Used to extract housing-related promises",housing policies in the UK ,Semi-automated and data-driven,"the Labour 2024 Manifesto, the UK Parliament Bills API etc."
